id;title;content;main_content;attachments;attachments_content_type;images;images_content_type;date
1;SQL Open-architected eyeballs;B2B;teal Handmade Concrete Soap innovate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
2;Bacon best-of-breed Fantastic Fresh Table;Comoros application;JSON Rubber;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-15
3;supply-chains artificial intelligence;installation Quality;Games;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-15
4;brand;Data;transmitting;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
5;encompassing United Arab Emirates;input pixel withdrawal;Home Loan Account California;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
6;New Mexico JSON;interactive bluetooth;Money Market Account Small;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
7;overriding Advanced;Maine utilisation;channels complexity;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
8;Manager;magnetic cyan digital;Plastic Tuna Technician;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
9;Shoes service-desk;Home Loan Account;repurpose Gloves;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
10;Practical Soft Mouse utilize Money Market Account;Creative Proactive;non-volatile silver Gorgeous Rubber Soap;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2020-11-16
